,HeadLine,Sentiment,Tickers,Sector,Industery,Change,Date,URL
0,Magellan Aerospace cuts dividend by ~24% to CAD 0.08/share,-1,MALJF,Industrials,Aerospace & Defense,0.0,2022-05-09T02:46:27-04:00,https://seekingalpha.com/news/3834698-magellan-aerospace-cuts-dividend-by-24-to-cad-008share
1,"Kosmos Energy Non-GAAP EPS of $0.30, revenue of $659.07M; issues Q2 and updates FY22 guidance",-1,KOS,Energy,Oil & Gas E&P,2.357837384112371,2022-05-09T02:15:29-04:00,https://seekingalpha.com/news/3834743-kosmos-energy-non-gaap-eps-of-030-revenue-of-65907m-issues-q2-and-updates-fy22-guidance
2,"Magellan Aerospace GAAP EPS of -C$0.04, revenue of C$187.71M",-1,MALJF,Industrials,Aerospace & Defense,0.0,2022-05-09T02:09:43-04:00,https://seekingalpha.com/news/3834741-magellan-aerospace-gaap-eps-of-c004-revenue-of-c18771m
3,"Imperial Metals Non-GAAP EPS of -C$0.13, revenue of C$33.13M",-1,IPMLF,Basic Materials,Copper,-1.6949136104436047,2022-05-09T01:58:02-04:00,https://seekingalpha.com/news/3834740-imperial-metals-non-gaap-eps-of-c013-revenue-of-c3313m
4,Faraday Future Intelligent Electric GAAP EPS of -$1.06,0,"FFIE, FFIEW",Consumer Cyclical,Auto Manufacturers,3.043475421480002,2022-05-09T01:54:44-04:00,https://seekingalpha.com/news/3834739-faraday-future-intelligent-electric-gaap-eps-of--106
5,"IGM Financial GAAP EPS of C$0.91, revenue of C$857.23M",-1,IGIFF,Financial Services,Asset Management,-7.343548082603057,2022-05-09T01:50:08-04:00,https://seekingalpha.com/news/3834738-igm-financial-gaap-eps-of-c091-revenue-of-c85723m
6,Asia-Pacific stocks mixed; China’s April trade data comes in above expectations,-1,,,,,2022-05-09T01:29:57-04:00,https://seekingalpha.com/news/3834737-asia-pacific-stocks-mixed-chinas-april-trade-data-comes-in-above-expectations
7,Honda China's April sales volumes decline double-digit in April on COVID-related disruptions,-1,"HMC, HNDAF",Consumer Cyclical,Auto Manufacturers,1.2523716088373327,2022-05-09T00:49:35-04:00,https://seekingalpha.com/news/3834736-honda-chinas-april-sales-volumes-decline-double-digit-in-april-on-covid-related-disruptions
8,Rate lock volumes plunged in April as mortgage rates keep climbing,-1,,,,,2022-05-09T00:01:00-04:00,https://seekingalpha.com/news/3834674-rate-lock-volumes-plunged-in-april-as-mortgage-rates-keep-climbing
9,Monday's economic calendar,0,,,,,2022-05-09T00:00:34-04:00,https://seekingalpha.com/news/3834742-mondays-economic-calendar
10,"Lockheed seeking to double output of Javelin anti-tank missiles, CEO says",1,LMT,Industrials,Aerospace & Defense,1.4171271275621011,2022-05-08T23:42:59-04:00,https://seekingalpha.com/news/3834734-lockheed-seeking-to-double-output-of-javelin-anti-tank-missiles-ceo-says
11,Notable earnings after Monday's close,0,,,,,2022-05-08T17:35:08-04:00,https://seekingalpha.com/news/3834732-notable-earnings-after-mondays-close
12,"'Bridgerton' stays atop streaming list, though Netflix adds 'Saul'",0,"NFLX, DIS",Communication Services,Entertainment,-3.902934270208258,2022-05-08T16:01:00-04:00,https://seekingalpha.com/news/3834700-bridgerton-stays-atop-streaming-list-though-netflix-adds-saul
13,Hospitals seek price hikes to offset rising nursing costs - WSJ,-1,HCA,Healthcare,Medical Care Facilities,1.4095203299421266,2022-05-08T15:46:00-04:00,https://seekingalpha.com/news/3834733-hospitals-seek-price-hikes-to-offset-rising-nursing-costs-wsj
14,Tracking COVID-19's path through life insurers' Q1 results,-1,UNM,Financial Services,Insurance—Life,13.788785794167735,2022-05-08T10:26:00-04:00,https://seekingalpha.com/news/3834642-tracking-covid-19s-path-through-life-insurers-q1-results
15,"Apple cuts trade-in values for Macs, iPads and Apple Watches ahead of expected refresh",-1,AAPL,Technology,Consumer Electronics,0.32531383104996703,2022-05-08T10:00:00-04:00,https://seekingalpha.com/news/3834359-apple-cut-the-trade-in-values-for-macs-ipads-and-apple-watches-ahead-of-expected-refresh
16,"Third Point increased Shell stake in Q1, added Glencore long position",1,"SHEL, GLCNF",,,1.3347421049532127,2022-05-08T08:37:00-04:00,https://seekingalpha.com/news/3834720-third-point-increased-shell-stake-in-q1-adds-glencore-long-position
